body_posture,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,right_torso_angle,left_torso_angle,right_hip_angle,left_hip_angle,right_knee_angle,left_knee_angle,elbow_mid_x,elbow_mid_y,wrist_mid_x,wrist_mid_y,elbow_distance,wrist_distance
idle,159.33116993803074,164.35972443969573,99.1133409190909,103.35246128388977,14.80728213332158,18.138801821443202,175.37534718292798,177.22541652234963,178.63567980126015,177.85795397050273,456.12695693969727,622.003927230835,454.925479888916,454.925479888916,281.1793869178112,250.83033662958752
idle,174.9912011368324,178.28450855381269,95.30790346197898,96.10974523540396,11.83367844825941,15.838211533968066,179.20258160087883,171.26522272861737,179.26166927308924,178.92688346471434,268.82850646972656,225.95978021621704,267.07579612731934,267.07579612731934,94.90142017135794,99.77361784819782
idle,173.26858227201188,174.63986242381773,96.98682859071084,97.57837317180335,13.118235512809367,16.675198584577522,178.97560299076537,171.57658290414142,179.76060527729734,179.23282508040205,271.0442924499512,223.64084243774414,270.1115036010742,270.1115036010742,100.30321628584305,102.90326367716976
idle,174.223507801587,174.3070539192401,96.39719598107874,97.66832312321229,13.4793518653342,16.173549422600914,178.443945573202,172.03923822021684,179.86732801674935,178.52508125008148,269.9842071533203,223.97719860076904,269.5270252227783,269.5270252227783,100.81705330312778,103.58371530393057
idle,172.84330089646454,173.16817106488094,96.31951999597445,98.20120233245251,13.622887813045613,16.553594301757364,178.86336495928387,171.42962643710078,179.12785258171192,177.89011897021476,269.9314880371094,224.91286039352417,269.1661262512207,269.1661262512207,101.57045240718804,102.07219821336754
idle,171.63075216198783,176.9193181387394,95.01177646603789,97.44659164920436,11.381052344717885,15.628713615273963,176.4351995825722,171.82658830387652,173.19419608653715,174.39914968366978,273.81359100341797,224.80625867843628,269.6364974975586,269.6364974975586,99.26839097268011,100.29183826389341
idle,161.38719741622634,178.99736690520064,97.83785723443388,95.71091743188339,8.749851860788633,21.389830667645146,179.42314976717302,171.76734081732704,175.25250779454637,172.55056784684774,235.38837432861328,221.52969360351562,230.11268615722656,230.11268615722656,92.36328213231835,85.74676286134124
idle,165.46854675534732,175.3732704728067,93.61668965317766,98.38413403446688,10.525236451136623,16.290716697038604,175.80430266694003,170.06438055531495,172.75315467156472,175.73217578467842,238.75030517578125,224.1354775428772,232.91257858276367,232.91257858276367,94.26326581930667,86.77753906220241
idle,173.90124842315592,171.4767300536537,93.68214830050486,100.86707942397403,15.245824164559645,14.884666484972154,176.5305297718914,168.18212446732358,179.87865567251728,173.7954852609573,195.3403377532959,228.1541132926941,197.1156358718872,197.1156358718872,97.53378575265369,97.48187728752208
idle,172.46050682874875,174.63526864081422,96.99444813795722,99.40890447683549,15.055488087733096,15.194901656730869,175.37953287151765,174.21476869018952,178.25956558309258,172.28556745471104,200.13538360595703,226.62837266921997,199.75439071655273,199.75439071655273,96.49095749824393,100.11399646231497
idle,172.31796311728345,171.97962041124237,100.26124558330466,94.58339349737693,13.183335594538347,15.913560787557067,173.7990534246722,172.75105249350713,175.55819299381406,176.63268338471548,213.02961349487305,224.9272084236145,212.77393341064453,212.77393341064453,98.6389035355519,97.70901173175294
idle,173.9396497991079,169.63196847272076,92.62877351750738,102.35658827283851,16.67404221342169,13.920831294829314,177.3565100868843,169.26537764050786,178.92237747792745,177.23120880109957,192.22485065460205,229.8938798904419,192.5070858001709,192.5070858001709,97.85847530063604,96.36679049001572
idle,171.0145551570513,175.11462992758825,93.18252109052844,99.69455653842515,12.994621300831922,14.847982639795038,176.99247427827063,171.85404361707845,178.42966919366236,176.2097888751331,194.13519382476807,228.7068271636963,192.10866451263428,192.10866451263428,91.24056279575093,90.0991110120266
idle,172.8399638985458,176.07253996963243,93.24063392486106,98.56802054715595,12.25541360091652,14.134979344204352,177.02679724558342,171.523058398214,178.23143756030484,178.03810428300167,195.89305877685547,228.04359912872314,194.02384757995605,194.02384757995605,90.45395300499207,91.1618824234978
idle,169.83379194149705,173.69914038591602,97.4163026542,97.40163976135753,13.771699290958892,16.813103903153248,177.68509825247364,170.90583955726095,176.41906381793325,170.9717477844476,189.41339015960693,228.5969352722168,187.9002046585083,187.9002046585083,93.57842900995666,92.01656256629622
idle,167.81082461748525,176.11405324290797,99.41020355007805,94.11350240319588,12.367493927153722,17.607290202785858,176.63720589473297,172.00868852884923,177.18807865262914,171.55731442626535,189.30662155151367,230.48308610916138,187.7524471282959,187.7524471282959,94.30886997822412,91.76380387436859
idle,173.8343318607507,172.382181688739,97.53927715697897,96.72518428571425,14.477306784146647,14.989716755017273,175.1135661009806,172.17070761381427,177.12620195699918,170.33028338041717,192.01735019683838,231.21159553527832,193.8334083557129,193.8334083557129,98.37373323194352,98.91480586401345
idle,174.35120407776978,173.48911211298534,99.91606136583195,94.75135790315352,13.660538242151546,14.371885823484666,173.4782231048616,174.63584623614054,179.0495474812575,176.6449089216001,209.12799835205078,223.83702993392944,210.04334449768066,210.04334449768066,97.71780066203986,100.58587185737787
idle,173.58279792726432,176.7014233397147,94.21979586108412,95.92178910276215,11.123207720562037,15.634676562279227,179.46332840964422,171.30682188758107,177.45242573089317,179.7352688022428,277.07961082458496,221.72208309173584,273.6669731140137,273.6669731140137,95.2569895770958,102.59990412387107
idle,172.66629158285528,175.08786715002745,95.75064295089342,96.11183021537816,13.464249424587651,14.369822863855205,179.22674987125322,171.20034351795346,178.24417757605164,179.5665391860861,271.7820739746094,214.32368516921997,268.85122299194336,268.85122299194336,116.64472949087722,116.09808407326307
idle,174.72286765602016,172.35784585951905,95.66878752699297,96.62369246308265,15.197676466216537,13.017993129417292,178.83099580893298,172.42090803470776,178.0918263459482,179.95769731676447,267.14134216308594,215.08270025253296,266.5116214752197,266.5116214752197,117.29056155202484,116.46097488133597
idle,175.2479390673028,170.70651640712447,97.12615097833397,95.78435204112218,15.274710536028167,13.892039178047709,177.4936484769012,172.13381016282128,179.4393022326817,178.87191845168542,261.99567794799805,214.9244213104248,264.9868679046631,264.9868679046631,119.65961405821938,118.07239229899574
idle,176.90754531860435,174.61475274943402,94.34484827047844,95.52944163480916,12.303296491575841,10.453907691405174,176.90950588981877,175.36783165017192,173.91478700498774,179.4715871332609,258.65782737731934,318.4692907333374,257.7495002746582,257.7495002746582,149.4900206507053,152.41947973477536
idle,179.62173558780614,173.8270110019729,92.89360009133594,95.89952622833123,12.180763962573973,9.881250949246189,176.64844653210082,174.60874535872225,175.57402004121172,178.8604372344327,263.778772354126,317.063684463501,265.4373359680176,265.4373359680176,159.96062379427565,164.6031552087665
idle,171.6074158275273,172.63846867689347,92.5928327628347,95.31822048356145,13.51553819054597,7.5134577832976825,178.69038254168092,172.02166608506582,171.45318367518115,177.87919608113015,257.33123779296875,311.87533378601074,267.1979236602783,267.1979236602783,174.16349586644452,194.01502691068487
idle,174.30595726483276,175.0179365513441,91.94314193451068,97.81983633808181,15.199185962604163,9.443555483846891,174.65886049613022,171.69385504614132,178.53590659200162,179.93178191303372,263.16341400146484,301.53273582458496,270.07465839385986,270.07465839385986,210.39531650615356,233.04925623650044
